city,country,longitude,latitude,Temperature F,Humidity %,Cloudiness,Wind Speed mph
Fort Smith,US,-94.4,35.39,32.0,97,10000,3.36
Maryville,US,-83.97,35.76,39.0,93,10000,4.7
Drezdenko,PL,15.83,52.84,46.99,77,10000,4.83
Ulladulla,AU,150.47,-35.35,78.8,74,10000,17.22
Makīnsk,KZ,70.42,52.63,9.88,91,10000,11.9
Westport,US,-73.36,41.14,28.4,42,10000,10.29
Los Llanos de Aridane,ES,-17.92,28.66,60.8,63,10000,5.82
Iqaluit,CA,-68.51,63.75,19.4,79,10000,9.17
Tautira,PF,-149.15,-17.73,82.0,61,10000,5.82
Teguise,ES,-13.56,29.06,60.8,72,10000,2.24
Kensington,AU,151.22,-33.92,75.0,96,10000,3.0
Menzelinsk,RU,53.1,55.73,19.4,67,10000,13.42
Vila,PT,-8.16,42.03,51.01,94,7789,20.0
Selikhino,RU,137.5,50.37,-2.56,84,10000,12.12
Kloulklubed,PW,134.26,7.04,78.8,88,10000,9.17
Ulaangom,MN,92.07,49.98,-3.44,87,10000,0.74
Huarmey,PE,-78.15,-10.07,68.36,79,10000,6.08
Vytegra,RU,36.45,61.01,27.93,97,10000,6.8
Chake Chake,TZ,39.77,-5.25,83.73,70,10000,10.85
La Libertad,EC,-80.9,-2.23,71.65,84,10000,7.07
Arrondissement de Saint-Denis,FR,2.33,48.92,46.0,100,1200,5.82
Magistral'nyy,RU,107.45,56.17,12.74,91,10000,7.38
Launceston,AU,147.17,-41.45,60.01,62,10000,23.04
Luwuk,ID,122.79,-0.95,86.43,67,10000,1.41
Ābdānān,IR,47.42,32.99,52.74,87,3515,14.76
Bicester,GB,-1.15,51.9,48.0,91,10000,3.0
Mbale,UG,34.17,1.08,74.7,51,10000,2.15
Genç,TR,40.56,38.75,41.0,100,2000,3.98
Thaton,MM,97.37,16.92,90.61,50,10000,1.7
Mutoko,ZW,32.23,-17.4,68.11,88,10000,1.83
Sulphur,US,-93.38,30.24,48.2,87,10000,8.05
Novy Urengoy,RU,76.63,66.08,-4.52,91,376,15.9
Shirakawa,JP,140.24,37.12,32.0,93,10000,13.87
Kirakira,SB,161.92,-10.45,85.82,71,10000,5.99
Bodmin,GB,-4.72,50.47,50.0,93,6000,26.4
Padang,ID,100.35,-0.95,81.39,79,4635,7.16
Bairiki Village,KI,172.98,1.33,84.2,79,10000,9.17
Kumul,CN,93.45,42.8,23.56,66,10000,0.49
Maningrida,AU,134.27,-12.07,86.09,70,9755,9.91
Santa María del Oro,MX,-105.37,25.93,44.35,54,10000,7.76
Vaitape,PF,-151.75,-16.52,81.32,72,10000,20.56
Virú,PE,-78.75,-8.42,72.12,66,10000,2.86
Coihueco,CL,-71.83,-36.62,55.4,66,10000,10.29
Ugoofaaru,MV,73.0,5.67,82.06,70,10000,11.56
Natal,BR,-35.21,-5.79,78.8,78,10000,8.05
Vallenar,CL,-70.76,-28.57,58.75,74,10000,1.54
Kununurra,AU,128.73,-15.77,102.2,37,10000,6.93
Laramie,US,-105.59,41.31,19.99,67,10000,24.16
Ust'-Kan,RU,84.76,50.93,14.38,90,10000,3.04
Fairview,US,-74.0,40.81,32.0,46,10000,6.93
Galston,GB,-4.38,55.6,45.0,93,10000,13.87
São Miguel do Araguaia,BR,-50.16,-13.28,73.4,80,10000,4.65
Portsmouth,GB,-1.09,50.8,52.0,85,10000,4.0
Amboise,FR,0.98,47.41,39.2,100,10000,8.05
Lucea,JM,-78.17,18.45,77.0,78,10000,3.36
Crotone,IT,17.12,39.09,48.99,47,10000,8.01
Kokopo,PG,152.26,-4.35,84.24,73,10000,3.96
Sagua la Grande,CU,-80.08,22.81,71.6,100,9000,3.36
Tigil',RU,158.67,57.8,19.53,93,10000,11.54
Jiangyou,CN,104.72,31.77,44.22,67,8398,1.7
Opuwo,NA,13.84,-18.06,69.96,28,10000,1.14
Kalmunai,LK,81.82,7.42,82.71,63,10000,6.24
Havøysund,NO,24.66,71.0,33.8,69,10000,19.46
Wyndham,US,-77.61,37.7,28.99,79,10000,4.83
Cockburn Town,TC,-71.14,21.46,77.13,72,10000,13.87
Kishangarh,IN,74.87,26.57,65.26,36,10000,7.56
Arrecife,ES,-13.55,28.96,60.8,72,10000,2.24
Santa Rosa,PH,121.11,14.31,90.0,58,10000,9.17
Smithers,CA,-127.17,54.78,30.2,86,8047,9.17
Chandigarh,IN,76.79,30.73,50.0,43,6000,6.93
Matagami,CA,-77.63,49.75,-27.4,74,10000,4.7
Rabat,MA,-6.84,33.99,48.2,100,8000,3.36
Shirokiy,RU,129.52,49.76,-5.96,86,10000,8.81
Pauini,BR,-66.98,-7.71,71.37,93,10000,2.19
Ampanihy,MG,44.75,-24.7,90.14,32,10000,9.55
Berdigestyakh,RU,126.7,62.1,-29.07,83,10000,3.27
Pombas,CV,-25.02,17.15,71.6,64,10000,14.99
Chokwé,MZ,32.98,-24.53,81.82,70,10000,10.78
Shenjiamen,CN,122.3,29.96,46.38,63,10000,20.29
Pacifica,US,-122.49,37.61,52.0,71,10000,3.36
Qobustan,AZ,49.41,40.08,50.0,81,10000,13.87
Nuuk,GL,-51.72,64.18,24.8,85,10000,12.75
Santa Cruz de la Sierra,BO,-63.17,-17.8,73.4,94,10000,8.05
Malpe,IN,74.72,13.35,86.0,48,6000,6.93
Shuangcheng,CN,126.28,45.35,-0.4,64,10000,8.95
Quang Ngai,VN,108.8,15.12,74.64,89,6969,9.51
Mto wa Mbu,TZ,35.85,-3.35,76.69,54,10000,5.7
Mareeba,AU,145.43,-17.0,88.0,70,10000,9.17
Yerbogachën,RU,108.01,61.28,-6.05,89,1353,8.57
Soyo,AO,12.37,-6.13,77.23,85,10000,5.44
Joanópolis,BR,-46.28,-22.93,66.2,100,9000,8.05
The Valley,AI,-63.06,18.22,75.99,88,10000,3.36
Aksay,RU,39.87,47.26,30.2,92,10000,6.71
Broome,US,-75.83,42.25,21.0,72,10000,4.7
Acarí,PE,-74.62,-15.43,68.7,71,10000,1.88
Mandera,KE,41.87,3.94,81.55,31,10000,13.98
Haghartsin,AM,44.97,40.78,45.72,59,10000,3.85
São João dos Patos,BR,-43.7,-6.5,72.93,77,10000,3.09
Muhafazat Lahij,YE,44.58,13.17,71.04,62,10000,7.94
Koudougou,BF,-2.37,12.25,73.24,21,10000,9.89
Champerico,GT,-91.92,14.3,66.0,94,10000,4.54
Mildura,AU,142.15,-34.2,89.6,27,10000,14.99
Lindi,TZ,39.72,-10.0,82.4,74,10000,13.87
Rio Claro,BR,-47.56,-22.41,68.63,93,10000,3.13
Port-Gentil,GA,8.78,-0.72,77.0,100,8000,4.7
Oktyabr'skiy,RU,53.47,54.48,18.57,95,10000,11.32
Ucluelet,CA,-125.55,48.93,46.99,91,10000,7.47
Havre-St-Pierre,CA,-63.6,50.23,14.0,56,10000,19.46
